title,price,location,url
"Featured ₹ 6,000 Car seat cover Laal Ganesh, Guwahati 10 Aug","₹ 6,000","Laal Ganesh, Guwahati",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938
"Featured ₹ 47,00,000 2 BHK - 2 Bathroom - 980 sqft 2bhk flat for Sale with covered car parking Pisoli, Pune 8 Aug","₹ 47,00,000","Pisoli, Pune",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623
"Featured ₹ 500 Car body cover available in wholesale market price Periyamet, Chennai 15 Aug",₹ 500,"Periyamet, Chennai",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782
"₹ 1,25,00,000 3 BHK - 2 Bathroom - 1470 sqft Fully furnished 3 bhk with lift and covered car parking for dispoal Raja S C Mullick Road, Kolkata Today","₹ 1,25,00,000","Raja S C Mullick Road, Kolkata",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1470-sq-ft-in-raja-s-c-mullick-road-kolkata-iid-1818066760
"₹ 24,000 IT, Media office, covered car n bike parking, Kakkanad Kochi Chembumukku, Kochi Today","₹ 24,000","Chembumukku, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-chembumukku-kochi-iid-1817413699
"₹ 13,500 2 BHK - 2 Bathroom - 1200 sqft 1.5 KM-KINFRA, 5 KM-Techno Park, CC TV, Covered Parking for Cars&Bikes Chanthavila, Thiruvananthapuram Today","₹ 13,500","Chanthavila, Thiruvananthapuram",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-chanthavila-thiruvananthapuram-iid-1816396942
"₹ 2,000 Car seat cover Ambarnath, Ulhasnagar Today","₹ 2,000","Ambarnath, Ulhasnagar",https://www.olx.in/item/sofa-dining-c1593-car-seat-cover-in-ambarnath-ulhasnagar-iid-1809663184
"₹ 250 Car Key cover premium BMW type of Hyundai compatible undergiven cars Corporative Colony, Bokaro Steel City Today",₹ 250,"Corporative Colony, Bokaro Steel City",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-corporative-colony-bokaro-steel-city-iid-1818251115
"₹ 1,500 Seltos car cover original Pallod Farms, Pune Today","₹ 1,500","Pallod Farms, Pune",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-pallod-farms-pune-iid-1818248499
"₹ 3,20,000 2013 - 93,000 km All new car with new seat cover all ok Ambas S Tower, Gurdaspur Today","₹ 3,20,000","Ambas S Tower, Gurdaspur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-ambas-s-tower-gurdaspur-iid-1818248444
"₹ 3,500 Xuv700 car cover Kaziguda, Hyderabad Today","₹ 3,500","Kaziguda, Hyderabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kaziguda-hyderabad-iid-1818243289
"₹ 1,90,00,000 3 BHK - 2 Bathroom - 1350 sqft 3bhk MICL (1.85 All inclusive) With 1 Alloted covered car park Dahisar East, Mumbai Today","₹ 1,90,00,000","Dahisar East, Mumbai",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1350-sq-ft-in-dahisar-east-mumbai-iid-1763316022
"₹ 24,000 Back end IT,Media office, covered car, Bike parking,kakkanad,EKM,Kochi Vazhakkala, Kochi Today","₹ 24,000","Vazhakkala, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-vazhakkala-kochi-iid-1818021789
"₹ 25,000 IT back end office, kakkanad, covered car n bike parking,lift, D G Padivattom, Kochi Today","₹ 25,000","Padivattom, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-901-sq-ft-in-padivattom-kochi-iid-1801141258
"₹ 1,60,000 2010 - 165,000 km car bilkul new jaisi 4tyre seat cover new paper 05/2031 tak tiptop car Naiganj, Jaunpur Today","₹ 1,60,000","Naiganj, Jaunpur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ritz-in-naiganj-jaunpur-iid-1817148538
"₹ 24,000 Back end IT office, covered car,Bike parking kakkanad Kochi,Ernakulam Padivattom, Kochi Today","₹ 24,000","Padivattom, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1818221632
"₹ 48,99,999 2 BHK - 2 Bathroom - 897 sqft 2 bhk flat with covered car parking in Gated Society Rajarhat Chowmatha, Kolkata Yesterday","₹ 48,99,999","Rajarhat Chowmatha, Kolkata",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-897-sq-ft-in-rajarhat-chowmatha-kolkata-iid-1818215736
"₹ 2,999 All cars side mirror batman cover abs plastic piano black Ashok Nagar, Vijayawada Yesterday","₹ 2,999","Ashok Nagar, Vijayawada",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-ashok-nagar-vijayawada-iid-1812853041
"₹ 2,500 All cars side mirror cover batman style abs Chembur, Mumbai Yesterday","₹ 2,500","Chembur, Mumbai",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-in-chembur-mumbai-iid-1812311995
"₹ 1,999 All cars side mirror covers abs Alappuzha Cantt, Alappuzha Yesterday","₹ 1,999","Alappuzha Cantt, Alappuzha",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-covers-abs-in-alappuzha-cantt-alappuzha-iid-1818212056
"Featured ₹ 7,500 1 BHK - 1 Bathroom - 750 sqft One BHK semi furnished flat with covered car parking IDPL Colony, Rishikesh 1 Aug","₹ 7,500","IDPL Colony, Rishikesh",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549
"Featured ₹ 1,200 Autofy 100% waterproof Altroz car cover Basavanapura Nr Krishnarajapura, Bengaluru 2 days ago","₹ 1,200","Basavanapura Nr Krishnarajapura, Bengaluru",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-basavanapura-nr-krishnarajapura-bengaluru-iid-1791569478
"₹ 60,000 2002 - 80,000 km Jen 2002 model new tier new music system new set cover all orisnel car Bhun, Gurdaspur Yesterday","₹ 60,000","Bhun, Gurdaspur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-1000-in-bhun-gurdaspur-iid-1818211301
"₹ 3,500 COVERED CAR PARKING WITH CCTV PROTECTION FOR RENT IN ROYAPETTAH Royapettah, Chennai Yesterday","₹ 3,500","Royapettah, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-700-sq-ft-in-royapettah-chennai-iid-1817735767
"₹ 2,40,000 2016 - 40,000 km Excellent car,20+avg","₹ 2,40,000","Pujan Vala Mohalla, Bathinda",https://www.olx.in/item/cars-c84-used-hyundai-eon-in-pujan-vala-mohalla-bathinda-iid-1818208438
"₹ 1,800 Waterproof thar car cover Narayan Vihar, Dehradun Yesterday","₹ 1,800","Narayan Vihar, Dehradun",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-narayan-vihar-dehradun-iid-1815693933
"₹ 1,05,00,000 1 BHK - 2 Bathroom - 780 sqft 1.5Bhk With Covered Car Parking at 1.05Cr++ in Raheja Lunaris Nerul E. Kharghar, Navi Mumbai Yesterday","₹ 1,05,00,000","Kharghar, Navi Mumbai",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-780-sq-ft-in-kharghar-navi-mumbai-iid-1816492331
"₹ 20,500 2 BHK - 2 Bathroom - 900 sqft 2 BHK flat with 2 balcony & Covered Car Parking Punawale, Pune Yesterday","₹ 20,500","Punawale, Pune",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-punawale-pune-iid-1817047903
"₹ 1,000 Ertiga Car Cover for sale MVP Colony, Visakhapatnam Yesterday","₹ 1,000","MVP Colony, Visakhapatnam",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-mvp-colony-visakhapatnam-iid-1818185454
"₹ 750 BALENO CAR BODY COVER RB Nagar, Hyderabad Yesterday",₹ 750,"RB Nagar, Hyderabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-rb-nagar-hyderabad-iid-1818183454
"₹ 33,00,111 Newly build 75 Sq yards home with covered car parking Dabua Colony, Faridabad Yesterday","₹ 33,00,111","Dabua Colony, Faridabad",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
"₹ 33,00,001 2 BHK - 1 Bathroom - 750 sqft 75 Gaj newly constructed home with covered car parking Nangla Gurjan, Faridabad Yesterday","₹ 33,00,001","Nangla Gurjan, Faridabad",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
"₹ 700 Hyundai Aura OE car cover for sale Kovilambakkam Raja Nagar, Chennai Yesterday",₹ 700,"Kovilambakkam Raja Nagar, Chennai",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kovilambakkam-raja-nagar-chennai-iid-1818169832
"₹ 35,000 2 BHK - 2 Bathroom - 850 sqft 2BHK Fully Furnished  with covered car parking near to viman Nagar Kharadi, Pune Yesterday","₹ 35,000","Kharadi, Pune",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-kharadi-pune-iid-1818157904
"₹ 2,500 Volkswagen Taigun Waterproof Car Body Cover-UV Protection,Heavy Duty. Srirampura Stage 2 Madhuvana Layout, Mysuru Yesterday","₹ 2,500","Srirampura Stage 2 Madhuvana Layout, Mysuru",https://www.olx.in/item/other-household-items-c293-volkswagen-taigun-waterproof-car-body-cover-uv-protectionheavy-duty-in-srirampura-stage-2-madhuvana-layout-mysuru-iid-1818152585
"₹ 45,00,000 2 BHK - 1 Bathroom - 900 sqft 107 Gaj home with covered car parking near by main market Jawahar Colony, Faridabad Yesterday","₹ 45,00,000","Jawahar Colony, Faridabad",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
"Jack and tata tiago car cover Venkateshwara Colony, Hyderabad Yesterday",,"Venkateshwara Colony, Hyderabad",https://www.olx.in/item/other-services-c625-jack-and-tata-tiago-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675
"₹ 18,000 2 BHK - 2 Bathroom - 1200 sqft Spacious 2BHK with covered car parking for rent Medavakkam, Chennai Yesterday","₹ 18,000","Medavakkam, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-medavakkam-chennai-iid-1818136585
"₹ 24,000 Back end IT office,10+ seat, covered car parking, DG, Kakkanad,EKM Padivattom, Kochi Yesterday","₹ 24,000","Padivattom, Kochi",https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-padivattom-kochi-iid-1817273548
"₹ 3,000 Covered car parking space for rent Arumbakkam, Chennai Yesterday","₹ 3,000","Arumbakkam, Chennai",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-arumbakkam-chennai-iid-1818127163
"₹ 87,74,000 3 BHK - 3 Bathroom - 1054 sqft Saligramam 3 BHK Flat for Sale with Covered Car Parking Saligramam, Chennai Yesterday","₹ 87,74,000","Saligramam, Chennai",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1054-sq-ft-in-saligramam-chennai-iid-1815561937
"₹ 2,499 All cars side mirror batman cover abs plastic piano black Gangtok Private Estate, Gangtok 2 days ago","₹ 2,499","Gangtok Private Estate, Gangtok",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
"₹ 2,500 All cars side mirror cover batman style abs plastic piano black Anna Nagar, Madurai 2 days ago","₹ 2,500","Anna Nagar, Madurai",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
"₹ 600 Car Wheel Cover 15 Inch  - 4 Piece Kavi Nagar Jila Panchayat Colony, Ghaziabad 2 days ago",₹ 600,"Kavi Nagar Jila Panchayat Colony, Ghaziabad",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kavi-nagar-jila-panchayat-colony-ghaziabad-iid-1816577525
"₹ 10000 - 15000 | Monthly Car accessories seat cover delivery and purchase Ayoor, Kollam 2 days ago",,"Ayoor, Kollam",https://www.olx.in/item/delivery-collection-c2205-full-time-in-ayoor-kollam-iid-1818099016
"₹ 99,30,996 2 BHK - 2 Bathroom - 960 sqft Two bhk wid covered car parking lift in janakpuri nr metro park facing Vikaspuri, Delhi 2 days ago","₹ 99,30,996","Vikaspuri, Delhi",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-960-sq-ft-in-vikaspuri-delhi-iid-1805661816
"₹ 500 Car Monsoon Cover Madhurawada, Visakhapatnam 2 days ago",₹ 500,"Madhurawada, Visakhapatnam",https://www.olx.in/item/spare-parts-c1585-car-monsoon-cover-in-madhurawada-visakhapatnam-iid-1818083314
"₹ 2,000 Nexon car cover Hari Enclave, Delhi 2 days ago","₹ 2,000","Hari Enclave, Delhi",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hari-enclave-delhi-iid-1817432270
"₹ 33,00,100 2 BHK - 1 Bathroom - 713 sqft 75 gaj home with covered car parking near sohna road highway Jawahar Colony, Faridabad 2 days ago","₹ 33,00,100","Jawahar Colony, Faridabad",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
"₹ 1,000 Car seat cover Vaishali, Ghaziabad 2 days ago","₹ 1,000","Vaishali, Ghaziabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vaishali-ghaziabad-iid-1818056285
"₹ 3,300 Hector  Car seat covers Waterfield Road Bandra West, Mumbai 2 days ago","₹ 3,300","Waterfield Road Bandra West, Mumbai",https://www.olx.in/item/spare-parts-c1585-hector-car-seat-covers-in-waterfield-road-bandra-west-mumbai-iid-1817738328
"₹ 1,300 Car cover swift zxi+ Gram Kudi, Jodhpur 2 days ago","₹ 1,300","Gram Kudi, Jodhpur",https://www.olx.in/item/other-household-items-c293-car-cover-swift-zxi-in-gram-kudi-jodhpur-iid-1818026632
"₹ 1,200 Wheel Cover (Silver)OEM Fits Maruti Cars Edayappuram, Aluva 2 days ago","₹ 1,200","Edayappuram, Aluva",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-edayappuram-aluva-iid-1818020700
"₹ 5,000 Behala 14no,Covered car parking for rent, 2mins from main road Behala, Kolkata 2 days ago","₹ 5,000","Behala, Kolkata",https://www.olx.in/item/for-rent-shops-offices-c1731-100-sq-ft-in-behala-kolkata-iid-1818016966
"₹ 3,50,00,000 3 BHK - 3 Bathroom - 1900 sqft Specious 3bhk 1200 Carpet with 2 Covered Car Park in Raheja at 3.5Cr+ Palm Beach Road, Navi Mumbai 2 days ago","₹ 3,50,00,000","Palm Beach Road, Navi Mumbai",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1900-sq-ft-in-palm-beach-road-navi-mumbai-iid-1816309659
"₹ 1,12,00,000 1 BHK - 2 Bathroom - 740 sqft 1.5Bhk Flat With Covered Car Parking at 1.12Cr+ in Nerul East Navi Mum Anushakti Nagar, Mumbai 2 days ago","₹ 1,12,00,000","Anushakti Nagar, Mumbai",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-740-sq-ft-in-anushakti-nagar-mumbai-iid-1816309491
"₹ 300 Small car cover Puthur, Chennai 3 days ago",₹ 300,"Puthur, Chennai",https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1814312723
"₹ 53,00,000 2 BHK - 2 Bathroom - 1000 sqft 2bhk & Covered Car Parking-SALE Chikhali, Pune 3 days ago","₹ 53,00,000","Chikhali, Pune",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-chikhali-pune-iid-1816950892
"₹ 1,050 Maruti Suzuki fronx car cover Gulzar Nagar, Bareilly 3 days ago","₹ 1,050","Gulzar Nagar, Bareilly",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433
"₹ 85,00,000 3 BHK - 3 Bathroom - 1485 sqft Villas for sale at kovilancheri .Specious design ,covered car parking! Kovilancheri, Chennai 3 days ago","₹ 85,00,000","Kovilancheri, Chennai",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1485-sq-ft-in-kovilancheri-chennai-iid-1817541513
"₹ 1,200 Baleno Car Body Cover Kanakpura, Jaipur 3 days ago","₹ 1,200","Kanakpura, Jaipur",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kanakpura-jaipur-iid-1817977216
"₹ 85,00,000 4 BHK - 4+ Bathroom - 1916 sqft 4BHK,5 Washroom, North Facing ,2 car Covered parking, AdequatSun light Bill Road, Vadodara 3 days ago","₹ 85,00,000","Bill Road, Vadodara",https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-apartments-1916-sq-ft-in-bill-road-vadodara-iid-1816477033
"₹ 500 Hyundai Exter Car Cover Bagalakunte, Bengaluru 3 days ago",₹ 500,"Bagalakunte, Bengaluru",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bagalakunte-bengaluru-iid-1817951090
"Ahmed car Matings and seat cover whole sale Distributor Farooqnagar, Hyderabad 3 days ago",,"Farooqnagar, Hyderabad",https://www.olx.in/item/other-services-c625-ahmed-car-matings-and-seat-cover-whole-sale-distributor-in-farooqnagar-hyderabad-iid-1625487590
"₹ 33,00,020 2 BHK - 2 Bathroom - 703 sqft 75 Gaj home with covered car parking Jawahar Colony, Faridabad 3 days ago","₹ 33,00,020","Jawahar Colony, Faridabad",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-703-sq-ft-in-jawahar-colony-faridabad-iid-1817077364
"Car seat cover i 10 balino alto all car seat covers Garhwali Colony, Dehradun 3 days ago",,"Garhwali Colony, Dehradun",https://www.olx.in/item/other-services-c625-car-seat-cover-i-10-balino-alto-all-car-seat-covers-in-garhwali-colony-dehradun-iid-1817943331
"₹ 95,00,000 3 BHK - 3 Bathroom - 2424 sqft Personal covered car parking Ace Divino, Greater Noida 3 days ago","₹ 95,00,000","Ace Divino, Greater Noida",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-2424-sq-ft-in-ace-divino-greater-noida-iid-1792721639
"₹ 3,00,000 A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT Viman Nagar, Pune 3 days ago","₹ 3,00,000","Viman Nagar, Pune",https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317
"₹ 75,000 2 BHK - 2 Bathroom - 1350 sqft A 1350 SQFT FURNISHED 2BHK FLAT WITH COVERED CAR PARK AVAIL FOR RENT Viman Nagar, Pune 3 days ago","₹ 75,000","Viman Nagar, Pune",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-viman-nagar-pune-iid-1805288003
"₹ 40,000 A 800 SQFT FURNISHED 1BHK FLAT  COVERED CAR PARK AVAILABLE FOR RENT Viman Nagar, Pune 3 days ago","₹ 40,000","Viman Nagar, Pune",https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-viman-nagar-pune-iid-1804964379
"₹ 400 Car Cover Brezza Badkhal, Faridabad 3 days ago",₹ 400,"Badkhal, Faridabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-badkhal-faridabad-iid-1817923398
"Punch car cover Chenippadi, Kumaranellur 3 days ago",,"Chenippadi, Kumaranellur",https://www.olx.in/item/other-services-c625-punch-car-cover-in-chenippadi-kumaranellur-iid-1817922234
"₹ 1,500 Waterproof,Dust proof car cover Kamala Nagar, Anantapur 3 days ago","₹ 1,500","Kamala Nagar, Anantapur",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kamala-nagar-anantapur-iid-1817919279
"₹ 59,00,000 2 BHK - 2 Bathroom - 727 sqft For rent or Sale 2 BHK with Covered Car parking Padur, Kovalam 3 days ago","₹ 59,00,000","Padur, Kovalam",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-727-sq-ft-in-padur-kovalam-iid-1811296083
"Covered car parking for rent Saligramam Kaveri Rangan Nagar, Chennai 3 days ago",,"Saligramam Kaveri Rangan Nagar, Chennai",https://www.olx.in/item/other-services-c625-covered-car-parking-for-rent-in-saligramam-kaveri-rangan-nagar-chennai-iid-1817905220
"Car seat cover Auto Nagar, Hyderabad 3 days ago",,"Auto Nagar, Hyderabad",https://www.olx.in/item/electronics-repair-services-c523-others-in-auto-nagar-hyderabad-iid-1817903156
"₹ 699 Brembo brake caliper covers all colours available for all cars Begumpet, Hyderabad 4 days ago",₹ 699,"Begumpet, Hyderabad",https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400
"This is completely car accessories & car seats covers Balanagar, Hyderabad 4 days ago",,"Balanagar, Hyderabad",https://www.olx.in/item/other-services-c625-this-is-completely-car-accessories-car-seats-covers-in-balanagar-hyderabad-iid-1812203773
"₹ 17,000 2 BHK - 2 Bathroom - 800 sqft New flat 2 BHK Flat on Rent with Covered Car Parking Moshi, Pune 4 days ago","₹ 17,000","Moshi, Pune",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-moshi-pune-iid-1817880077
"₹ 9,999 Maruti Suzuki Grand vitara new car rim and wheel cover (set of 4) Sector 21D, Faridabad 4 days ago","₹ 9,999","Sector 21D, Faridabad",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-21d-faridabad-iid-1817309926
